Angle,Intensity
5.001866440,6757.0
5.023599320,6811.0
5.045332200,6716.0
5.067065080,6689.0
5.088797960,6579.0
5.110530840,6462.0
5.132263720,6521.0
5.153996600,6471.0
5.175729480,6519.0
5.197462360,6350.0
5.219195240,6364.0
5.240928120,6334.0
5.262661000,6444.0
5.284393880,6241.0
5.306126760,6327.0
5.327859640,6267.0
5.349592520,6171.0
5.371325400,6402.0
5.393058280,6164.0
5.414791160,6175.0
5.436524040,5899.0
5.458256920,6072.0
5.479989800,5988.0
5.501722680,6070.0
5.523455560,5877.0
5.545188440,6062.0
5.566921320,6113.0
5.588654200,5749.0
5.610387080,5827.0
5.632119960,5964.0
5.653852840,5846.0
5.675585720,5721.0
5.697318600,5771.0
5.719051480,5787.0
5.740784360,5899.0
5.762517240,5620.0
5.784250120,5877.0
5.805983000,5614.0
5.827715880,5766.0
5.849448760,5660.0
5.871181640,5593.0
5.892914520,5575.0
5.914647400,5539.0
5.936380280,5627.0
5.958113160,5520.0
5.979846040,5457.0
6.001578920,5674.0
6.023311800,5586.0
6.045044680,5500.0
6.066777560,5636.0
6.088510440,5476.0
6.110243320,5545.0
6.131976200,5507.0
6.153709080,5544.0
6.175441960,5625.0
6.197174840,5388.0
6.218907720,5340.0
6.240640600,5470.0
6.262373480,5406.0
6.284106360,5432.0
6.305839240,5385.0
6.327572120,5368.0
6.349305000,5372.0
6.371037880,5432.0
6.392770760,5344.0
6.414503640,5325.0
6.436236520,5466.0
6.457969400,5364.0
6.479702280,5302.0
6.501435160,5310.0
6.523168040,5304.0
6.544900920,5374.0
6.566633800,5377.0
6.588366680,5192.0
6.610099560,5274.0
6.631832440,5231.0
6.653565320,5248.0
6.675298200,5105.0
6.697031080,5219.0
6.718763960,5133.0
6.740496840,5231.0
6.762229720,5174.0
6.783962600,5228.0
6.805695480,5269.0
6.827428360,5129.0
6.849161240,5240.0
6.870894120,5124.0
6.892627000,5098.0
6.914359880,5054.0
6.936092760,5028.0
6.957825640,5248.0
6.979558520,5058.0
7.001291400,5116.0
7.023024280,5126.0
7.044757160,5022.0
7.066490040,4963.0
7.088222920,4963.0
7.109955800,4913.0
7.131688680,5178.0
7.153421560,5055.0
7.175154440,5123.0
7.196887320,5028.0
7.218620200,4955.0
7.240353080,5083.0
7.262085960,5078.0
7.283818840,5057.0
7.305551720,5084.0
7.327284600,5070.0
7.349017480,5160.0
7.370750360,4897.0
7.392483240,5180.0
7.414216120,5028.0
7.435949000,4964.0
7.457681880,4945.0
7.479414760,4948.0
7.501147640,4969.0
7.522880520,4920.0
7.544613400,4910.0
7.566346280,4922.0
7.588079160,4919.0
7.609812040,4835.0
7.631544920,4771.0
7.653277800,4935.0
7.675010680,4851.0
7.696743560,4887.0
7.718476440,4899.0
7.740209320,4806.0
7.761942200,4794.0
7.783675080,4783.0
7.805407960,4739.0
7.827140840,4839.0
7.848873720,4713.0
7.870606600,4861.0
7.892339480,4639.0
7.914072360,4877.0
7.935805240,4857.0
7.957538120,4819.0
7.979271000,4823.0
8.001003880,4720.0
8.022736760,4641.0
8.044469640,4899.0
8.066202520,4813.0
8.087935400,4812.0
8.109668280,4741.0
8.131401160,4819.0
8.153134040,4644.0
8.174866920,4813.0
8.196599800,4710.0
8.218332680,4578.0
8.240065560,4771.0
8.261798440,4874.0
8.283531320,4798.0
8.305264200,4730.0
8.326997080,4725.0
8.348729960,4723.0
8.370462840,4754.0
8.392195720,4782.0
8.413928600,4710.0
8.435661480,4784.0
8.457394360,4612.0
8.479127240,4780.0
8.500860120,4659.0
8.522593000,4739.0
8.544325880,4602.0
8.566058760,4696.0
8.587791640,4706.0
8.609524520,4719.0
8.631257400,4721.0
8.652990280,4646.0
8.674723160,4681.0
8.696456040,4600.0
8.718188920,4549.0
8.739921800,4587.0
8.761654680,4568.0
8.783387560,4616.0
8.805120440,4605.0
8.826853320,4607.0
8.848586200,4501.0
8.870319080,4415.0
8.892051960,4526.0
8.913784840,4607.0
8.935517720,4515.0
8.957250600,4631.0
8.978983480,4524.0
9.000716360,4465.0
9.022449240,4628.0
9.044182120,4618.0
9.065915000,4480.0
9.087647880,4462.0
9.109380760,4492.0
9.131113640,4602.0
9.152846520,4507.0
9.174579400,4520.0
9.196312280,4546.0
9.218045160,4477.0
9.239778040,4612.0
9.261510920,4553.0
9.283243800,4385.0
9.304976680,4499.0
9.326709560,4613.0
9.348442440,4421.0
9.370175320,4439.0
9.391908200,4487.0
9.413641080,4434.0
9.435373960,4334.0
9.457106840,4462.0
9.478839720,4416.0
9.500572600,4376.0
9.522305480,4474.0
9.544038360,4498.0
9.565771240,4382.0
9.587504120,4355.0
9.609237000,4424.0
9.630969880,4317.0
9.652702760,4357.0
9.674435640,4415.0
9.696168520,4311.0
9.717901400,4433.0
9.739634280,4451.0
9.761367160,4409.0
9.783100040,4362.0
9.804832920,4414.0
9.826565800,4420.0
9.848298680,4366.0
9.870031560,4445.0
9.891764440,4421.0
9.913497320,4462.0
9.935230200,4425.0
9.956963080,4414.0
9.978695960,4365.0
10.000428840,4486.0
10.022161720,4303.0
10.043894600,4418.0
10.065627480,4506.0
10.087360360,4373.0
10.109093240,4384.0
10.130826120,4339.0
10.152559000,4211.0
10.174291880,4482.0
10.196024760,4455.0
10.217757640,4556.0
10.239490520,4379.0
10.261223400,4313.0
10.282956280,4367.0
10.304689160,4371.0
10.326422040,4344.0
10.348154920,4373.0
10.369887800,4293.0
10.391620680,4233.0
10.413353560,4357.0
10.435086440,4259.0
10.456819320,4261.0
10.478552200,4262.0
10.500285080,4437.0
10.522017960,4273.0
10.543750840,4319.0
10.565483720,4373.0
10.587216600,4169.0
10.608949480,4190.0
10.630682360,4308.0
10.652415240,4204.0
10.674148120,4237.0
10.695881000,4176.0
10.717613880,4275.0
10.739346760,4242.0
10.761079640,4299.0
10.782812520,4193.0
10.804545400,4245.0
10.826278280,4156.0
10.848011160,4234.0
10.869744040,4189.0
10.891476920,4115.0
10.913209800,4249.0
10.934942680,4246.0
10.956675560,4344.0
10.978408440,4120.0
11.000141320,4283.0
11.021874200,4272.0
11.043607080,4197.0
11.065339960,4228.0
11.087072840,4215.0
11.108805720,4238.0
11.130538600,4063.0
11.152271480,4135.0
11.174004360,4147.0
11.195737240,4192.0
11.217470120,4222.0
11.239203000,4108.0
11.260935880,4172.0
11.282668760,4174.0
11.304401640,4179.0
11.326134520,4105.0
11.347867400,4101.0
11.369600280,4093.0
11.391333160,4218.0
11.413066040,4061.0
11.434798920,4142.0
11.456531800,4127.0
11.478264680,4115.0
11.499997560,4088.0
11.521730440,4218.0
11.543463320,4074.0
11.565196200,4233.0
11.586929080,4206.0
11.608661960,4149.0
11.630394840,4029.0
11.652127720,4188.0
11.673860600,4154.0
11.695593480,3963.0
11.717326360,4175.0
11.739059240,4148.0
11.760792120,4343.0
11.782525000,4065.0
11.804257880,4110.0
11.825990760,4076.0
11.847723640,4139.0
11.869456520,4026.0
11.891189400,4218.0
11.912922280,4144.0
11.934655160,4014.0
11.956388040,4215.0
11.978120920,4172.0
11.999853800,4126.0
12.021586680,4038.0
12.043319560,4160.0
12.065052440,4129.0
12.086785320,4044.0
12.108518200,4164.0
12.130251080,4156.0
12.151983960,4102.0
12.173716840,4147.0
12.195449720,4074.0
12.217182600,4183.0
12.238915480,4112.0
12.260648360,4178.0
12.282381240,4007.0
12.304114120,4040.0
12.325847000,4125.0
12.347579880,4251.0
12.369312760,4129.0
12.391045640,4242.0
12.412778520,4375.0
12.434511400,4308.0
12.456244280,4307.0
12.477977160,4090.0
12.499710040,4233.0
12.521442920,4356.0
12.543175800,4321.0
12.564908680,4396.0
12.586641560,4371.0
12.608374440,4329.0
12.630107320,4419.0
12.651840200,4574.0
12.673573080,4483.0
12.695305960,4757.0
12.717038840,4626.0
12.738771720,4786.0
